Depth	AC	CNL	DEN	GR	PE	RLLD	LIMSTONE	LIMSTON_BP	LIMSTON_DT	LIMSTON_SVM	LIMSTON_STACK	LIMSTON_RF	LIMSTON_ADA	LIMSTON_XGB	LIMSTON_GBC
3476.625	171.7709961	7.483	2.805999994	87.51599884	3.460000038	353.90701290000015	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3476.75	168.5209961	6.737	2.808000088	78.10600281	3.397000074	411.5759888000002	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3476.875	164.6750031	5.891	2.812000036	59.20299912	3.345999956	447.18701169999997	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3477.0	161.6490021	5.341	2.818000078	43.72200012	3.326999903	458.0830078	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3477.125	160.0140076	5.141	2.823999882	37.60400009	3.33100009	453.13699340000005	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3477.25	159.2369995	5.117	2.828000069	37.88800049	3.334000111	438.6419983	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3477.375	158.8099976	5.059	2.83100009	39.51200104	3.329999924	424.23800659999984	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3477.5	158.5910034	4.858	2.835000038	38.69900131	3.328000069	413.91198729999996	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3477.625	158.6399994	4.726	2.839999914	35.55799866	3.332000017	394.14801030000007	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3477.75	159.4629974	4.923	2.845000029	32.88999939	3.342999935	357.9020080999999	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3477.875	161.477005	5.487	2.84800005	35.07699966	3.362999916	311.57000729999993	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3478.0	164.3309937	6.265	2.845000029	44.6969986	3.38199997	271.6350098	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3478.125	167.3170013	7.068	2.838000059	57.23099899	3.394000053	242.55000309999994	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3478.25	170.2180023	7.723	2.83100009	66.38899994	3.417000055	223.4230041999999	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3478.375	172.348999	8.072	2.826999903	73.40799713	3.46600008	221.10699460000006	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3478.5	172.7550049	8.092	2.826999903	82.0719986	3.536999941	242.36700440000013	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3478.625	170.9960022	7.956	2.828000069	86.14299774	3.601999998	285.2179871000002	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
